U.S. Preventive Services Task Force Recommendation Topics,,,,,,,,
Alex ranking: 1 (relevant) - 3 (not),Status,Type,Year,Topic Name,,Age Group,Grade,Category
3,Published,Screening,2022,Anxiety in Children and Adolescents: Screening,,"Adolescent, Pediatric","B, I","Development and Behavior, Mental Health Conditions and Substance Abuse"
3,Published,Screening,2022,Depression and Suicide Risk in Children and Adolescents: Screening,,"Adolescent, Pediatric","B, I","Development and Behavior, Mental Health Conditions and Substance Abuse"
3,Published,Screening,2022,Syphilis Infection in Nonpregnant Adolescents and Adults: Screening,,"Adolescent, Adult, Senior",A,Infectious Diseases
2,Published,Screening,2022,Prediabetes and Type 2 Diabetes in Children and Adolescents: Screening,,"Adolescent, Pediatric",I,"Metabolic, nutritional, and Endocrine Conditions"
,Published,Preventive medication,2022,Statin Use for the Primary Prevention of Cardiovascular Disease in Adults: Preventive Medication,,"Adult, Senior","B, C, I",Cardiovascular Disorders (Heart and Vascular Diseases)
3,Published,Counseling,2022,Behavioral Counseling Interventions to Promote a Healthy Diet and Physical Activity for Cardiovascular Disease Prevention in Adults Without Cardiovascular Disease Risk Factors,,"Adult, Senior",C,"Cardiovascular Disorders (Heart and Vascular Diseases), Metabolic, nutritional, and Endocrine Conditions"
2,Published,Preventive medication,2022,"Vitamin, Mineral, and Multivitamin Supplementation to Prevent Cardiovascular Disease and Cancer: Preventive Medication",,"Adult, Senior","D, I","Cancer, Cardiovascular Disorders (Heart and Vascular Diseases)"
3,Published,Screening,2022,Impaired Visual Acuity in Older Adults: Screening,,"Adult, Senior",I,Vision and Hearing Disorders
2,Published,Screening,2022,Primary Open-Angle Glaucoma: Screening,,"Adult, Senior",I,Vision and Hearing Disorders
2,Published,Screening,2022,Chronic Obstructive Pulmonary Disease: Screening,,"Adult, Senior",D,Cardiovascular Disorders (Heart and Vascular Diseases)
2,Published,Preventive medication,2022,Aspirin Use to Prevent Cardiovascular Disease: Preventive Medication,,"Adult, Senior","C, D",Cardiovascular Disorders (Heart and Vascular Diseases)
3,Published,Screening,2022,Eating Disorders in Adolescents and Adults: Screening,,"Adolescent, Adult",I,"Development and Behavior, Mental Health Conditions and Substance Abuse, Metabolic, nutritional, and Endocrine Conditions"
2,Published,Screening,2022,Atrial Fibrillation: Screening,,"Adult, Senior",I,Cardiovascular Disorders (Heart and Vascular Diseases)
3,Published,"Counseling, Screening",2021,Prevention of Dental Caries in Children Younger Than 5 Years: Screening and Interventions,,Pediatric,"B, I",Miscellaneous
2,Published,Preventive medication,2021,Aspirin Use to Prevent Preeclampsia and Related Morbidity and Mortality: Preventive Medication,,Adult,B,Obstetric and Gynecologic Conditions
1,Published,Screening,2021,Chlamydia and Gonorrhea: Screening,,"Adolescent, Adult, Senior","B, I",Infectious Diseases
1,Published,Screening,2021,Prediabetes and Type 2 Diabetes: Screening,,"Adult, Senior",B,"Metabolic, nutritional, and Endocrine Conditions"
2,Published,Screening,2021,Gestational Diabetes: Screening,,"Adolescent, Adult","B, I",Obstetric and Gynecologic Conditions
3,Published,Counseling,2021,Healthy Weight and Weight Gain In Pregnancy: Behavioral Counseling Interventions,,"Adolescent, Adult",B,"Development and Behavior, Metabolic, nutritional, and Endocrine Conditions, Obstetric and Gynecologic Conditions"
1,Published,Screening,2021,Colorectal Cancer: Screening,,"Adult, Senior","A, B, C",Cancer
1,Published,Screening,2021,Hypertension in Adults: Screening,,"Adult, Senior",A,Cardiovascular Disorders (Heart and Vascular Diseases)
1,Published,Screening,2021,Vitamin D Deficiency in Adults: Screening,,"Adult, Senior",I,"Metabolic, nutritional, and Endocrine Conditions"
3,Published,Screening,2021,Hearing Loss in Older Adults: Screening,,"Adult, Senior",I,Vision and Hearing Disorders
1,Published,Screening,2021,Lung Cancer: Screening,,"Adult, Senior",B,Cancer
3,Published,Screening,2021,Asymptomatic Carotid Artery Stenosis: Screening,,"Adult, Senior",D,Cardiovascular Disorders (Heart and Vascular Diseases)
2,Published,"Counseling, Preventive medication",2021,"Tobacco Smoking Cessation in Adults, Including Pregnant Persons: Interventions",,"Adult, Senior","A, I","Cancer, Development and Behavior, Mental Health Conditions and Substance Abuse"
1,Published,Screening,2020,Hepatitis B Virus Infection in Adolescents and Adults: Screening,,"Adolescent, Adult, Senior",B,Infectious Diseases
3,Published,Counseling,2020,Healthy Diet and Physical Activity for Cardiovascular Disease Prevention in Adults With Cardiovascular Risk Factors: Behavioral Counseling Interventions,,"Adult, Senior",B,"Cardiovascular Disorders (Heart and Vascular Diseases), Development and Behavior"
2,Published,Screening,2020,High Blood Pressure in Children and Adolescents: Screening,,"Adolescent, Pediatric",I,Cardiovascular Disorders (Heart and Vascular Diseases)
3,Published,Counseling,2020,Sexually Transmitted Infections: Behavioral Counseling,,"Adolescent, Adult, Senior",B,Infectious Diseases
3,Published,Screening,2020,Unhealthy Drug Use: Screening,,"Adolescent, Adult, Senior","B, I","Development and Behavior, Mental Health Conditions and Substance Abuse"
3,Published,Counseling,2020,"Illicit Drug Use in Children, Adolescents, and Young Adults: Primary Care-Based Interventions",,"Adolescent, Pediatric",I,"Development and Behavior, Mental Health Conditions and Substance Abuse"
3,Published,Counseling,2020,Tobacco Use in Children and Adolescents: Primary Care Interventions,,"Adolescent, Pediatric","B, I","Cancer, Development and Behavior, Mental Health Conditions and Substance Abuse, Miscellaneous"
3,Published,Screening,2020,Bacterial Vaginosis in Pregnant Persons to Prevent Preterm Delivery: Screening,,"Adolescent, Adult","D, I","Infectious Diseases, Obstetric and Gynecologic Conditions"
2,Published,Screening,2020,Hepatitis C Virus Infection in Adolescents and Adults: Screening,,"Adolescent, Adult, Senior",B,Infectious Diseases
3,Published,Screening,2020,Cognitive Impairment in Older Adults: Screening,,Senior,I,Mental Health Conditions and Substance Abuse
2,Published,Screening,2019,Abdominal Aortic Aneurysm: Screening,,"Adult, Senior","B, C, D, I",Cardiovascular Disorders (Heart and Vascular Diseases)
2,Published,Screening,2019,Asymptomatic Bacteriuria in Adults: Screening,,"Adolescent, Adult, Senior","B, D","Infectious Diseases, Obstetric and Gynecologic Conditions"
1,Published,Preventive medication,2019,Breast Cancer: Medication Use to Reduce Risk,#REF!,"Adult, Senior","B, D",Cancer
1,Published,"Counseling, Screening",2019,"BRCA-Related Cancer: Risk Assessment, Genetic Counseling, and Genetic Testing",#N/A,"Adult, Senior","B, D",Cancer
1,Published,Screening,2019,Pancreatic Cancer: Screening,#N/A,"Adult, Senior",D,Cancer
1,Published,Screening,2019,Hepatitis B Virus Infection in Pregnant Women: Screening,#N/A,"Adolescent, Adult",A,"Infectious Diseases, Obstetric and Gynecologic Conditions"
1,Published,Screening,2019,Human Immunodeficiency Virus (HIV) Infection: Screening,#N/A,"Adolescent, Adult",A,Infectious Diseases
1,Published,Preventive medication,2019,Prevention of Human Immunodeficiency Virus (HIV) Infection: Preexposure Prophylaxis,#N/A,"Adolescent, Adult",A,Infectious Diseases
,In Progress,Preventive medication,,Prevention of Human Immunodeficiency Virus (HIV) Infection: Preexposure Prophylaxis,#N/A,"Adolescent, Adult",,Infectious Diseases
2,Published,Screening,2019,Elevated Blood Lead Levels in Children and Pregnant Women: Screening,#N/A,"Adolescent, Adult, Pediatric",I,"Development and Behavior, Metabolic, nutritional, and Endocrine Conditions, Obstetric and Gynecologic Conditions"
2,Published,"Counseling, Preventive medication",2019,Perinatal Depression: Preventive Interventions,#N/A,Adult,B,"Mental Health Conditions and Substance Abuse, Obstetric and Gynecologic Conditions, Perinatal Care"
2,Published,Preventive medication,2019,Ocular Prophylaxis for Gonococcal Ophthalmia Neonatorum: Preventive Medication,#N/A,Pediatric,A,"Infectious Diseases, Obstetric and Gynecologic Conditions, Perinatal Care, Vision and Hearing Disorders"
3,Published,"Counseling, Screening",2018,Child Maltreatment: Interventions,#N/A,"Adolescent, Pediatric",I,"Development and Behavior, Injury Prevention, Mental Health Conditions and Substance Abuse"
3,In Progress,"Counseling, Screening",,Prevention of Child Maltreatment: Primary Care Interventions,#N/A,"Adolescent, Pediatric",,"Development and Behavior, Injury Prevention, Mental Health Conditions and Substance Abuse"
3,Published,"Counseling, Screening",2018,Unhealthy Alcohol Use in Adolescents and Adults: Screening and Behavioral Counseling Interventions,#N/A,"Adolescent, Adult, Senior","B, I","Development and Behavior, Mental Health Conditions and Substance Abuse"
3,Published,Screening,2018,"Intimate Partner Violence, Elder Abuse, and Abuse of Vulnerable Adults: Screening",#N/A,"Adolescent, Adult, Senior","B, I","Injury Prevention, Mental Health Conditions and Substance Abuse, Miscellaneous"
3,Published,Counseling,2018,Weight Loss to Prevent Obesity-Related Morbidity and Mortality in Adults: Behavioral Interventions,#N/A,"Adult, Senior",B,"Metabolic, nutritional, and Endocrine Conditions"
3,Published,Screening,2018,Syphilis Infection in Pregnant Women: Screening,#N/A,"Adolescent, Adult",A,"Infectious Diseases, Obstetric and Gynecologic Conditions"
,Published,Screening,2018,Cervical Cancer: Screening,#N/A,"Adolescent, Adult, Senior","A, D",Cancer
,In Progress,Screening,,Cervical Cancer: Screening,#N/A,"Adolescent, Adult, Senior",,Cancer
1,Published,Screening,2018,Peripheral Artery Disease and Cardiovascular Disease: Screening and Risk Assessment With the Ankle-Brachial Index ,#N/A,"Adult, Senior",I,Cardiovascular Disorders (Heart and Vascular Diseases)
1,Published,Screening,2018,Cardiovascular Disease: Risk Assessment With Nontraditional Risk Factors,#N/A,"Adult, Senior",I,Cardiovascular Disorders (Heart and Vascular Diseases)
1,Published,Screening,2018,Osteoporosis to Prevent Fractures: Screening,#N/A,"Adult, Senior","B, I",Musculoskeletal Disorders
,In Progress,Screening,,Osteoporosis to Prevent Fractures: Screening,#N/A,"Adult, Senior",,Musculoskeletal Disorders
1,Published,Screening,2018,Cardiovascular Disease Risk: Screening With Electrocardiography,#N/A,"Adult, Senior","D, I",Cardiovascular Disorders (Heart and Vascular Diseases)
1,Published,Screening,2018,Prostate Cancer: Screening,#N/A,"Adult, Senior","C, D",Cancer
1,Published,Preventive medication,2018,"Vitamin D, Calcium, or Combined Supplementation for the Primary Prevention of Fractures in Community-Dwelling Adults: Preventive Medication",#N/A,"Adult, Senior","D, I","Metabolic, nutritional, and Endocrine Conditions"
1,Published,"Counseling, Preventive medication",2018,Falls Prevention in Community-Dwelling Older Adults: Interventions,#N/A,Senior,"B, C, D","Injury Prevention, Musculoskeletal Disorders"
1,Published,Counseling,2018,Skin Cancer Prevention: Behavioral Counseling,#N/A,"Adolescent, Adult, Pediatric, Senior","B, C, I",Cancer
1,Published,Screening,2018,Ovarian Cancer: Screening,#N/A,"Adult, Senior",D,Cancer
2,Published,Screening,2018,Adolescent Idiopathic Scoliosis: Screening,#N/A,"Adolescent, Pediatric",I,Musculoskeletal Disorders
1,Published,Preventive medication,2017,Hormone Therapy in Postmenopausal Women: Primary Prevention of Chronic Conditions,#N/A,"Adult, Senior",D,"Metabolic, nutritional, and Endocrine Conditions, Obstetric and Gynecologic Conditions"
1,In Progress,Preventive medication,,Hormone Therapy for the Primary Prevention of Chronic Conditions in Postmenopausal Persons,#N/A,"Adult, Senior",,"Metabolic, nutritional, and Endocrine Conditions, Obstetric and Gynecologic Conditions"
2,Published,Screening,2017,Vision in Children Ages 6 Months to 5 Years: Screening,#N/A,Pediatric,"B, I",Vision and Hearing Disorders
2,Published,"Counseling, Screening",2017,Obesity in Children and Adolescents: Screening,#N/A,"Adolescent, Pediatric",B,"Metabolic, nutritional, and Endocrine Conditions"
,In Progress,Counseling,,Weight Management in Children and Adolescents: Interventions,#N/A,"Adolescent, Pediatric",,"Metabolic, nutritional, and Endocrine Conditions"
1,Published,Screening,2017,Thyroid Cancer: Screening,#N/A,"Adult, Senior",D,Cancer
1,Published,Screening,2017,Preeclampsia: Screening,#N/A,Adult,B,Obstetric and Gynecologic Conditions
,In Progress,Screening,,Hypertensive Disorders of Pregnancy: Screening,#N/A,Adult,,Obstetric and Gynecologic Conditions
1,Published,Screening,2017,Celiac Disease: Screening,#N/A,"Adolescent, Adult, Pediatric, Senior",I,"Metabolic, nutritional, and Endocrine Conditions"
1,Published,Screening,2017,Gynecological Conditions: Periodic Screening With the Pelvic Examination,#N/A,"Adult, Senior",I,Obstetric and Gynecologic Conditions
1,Published,Screening,2017,Obstructive Sleep Apnea in Adults: Screening,#N/A,"Adult, Senior",I,"Metabolic, nutritional, and Endocrine Conditions, Miscellaneous"
,In Progress,Screening,,Obstructive Sleep Apnea in Adults: Screening,#N/A,"Adult, Senior",,"Metabolic, nutritional, and Endocrine Conditions, Miscellaneous"
